frame_index,hotspot_rank,is_top_hotspot,station_name,location_id,latitude,longitude,datetime_to_utc,forecast_for_utc,pm25,predicted_pm25_xgboost,pm25_next_hour,forecast_change_pm25,forecast_change_percent,forecast_direction,predicted_pm25_subindex,aqi_category,risk_level,recommendation,alert_message
63,2,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-26 21:30:00+00:00,2026-02-26 22:30:00+00:00,51.4,51.69,54.4,0.29,0.57,Stable,86,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 51.7 µg/m³. Conditions are stable."
63,3,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-26 21:30:00+00:00,2026-02-26 22:30:00+00:00,48.0,49.77,51.6,1.77,3.69,Stable,83,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 49.8 µg/m³. Conditions are stable."
63,4,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-26 21:30:00+00:00,2026-02-26 22:30:00+00:00,47.7,47.14,62.3,-0.56,-1.17,Stable,78,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Arumbakkam, Chennai - TNPCB is forecast to remain within the satisfactory category at 47.1 µg/m³. Conditions are stable."
63,5,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-26 21:30:00+00:00,2026-02-26 22:30:00+00:00,46.9,44.49,47.3,-2.41,-5.14,Stable,74,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 44.5 µg/m³. Conditions are stable."
63,6,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-26 21:30:00+00:00,2026-02-26 22:30:00+00:00,40.1,40.04,31.8,-0.06,-0.16,Stable,66,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali, Chennai - CPCB is forecast to remain within the satisfactory category at 40.0 µg/m³. Conditions are stable."
64,1,True,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-26 22:30:00+00:00,2026-02-26 23:30:00+00:00,62.3,62.37,73.4,0.07,0.12,Stable,106,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Arumbakkam, Chennai - TNPCB: next-hour PM2.5 is forecast at 62.4 µg/m³. Conditions are stable."
64,2,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-26 22:30:00+00:00,2026-02-26 23:30:00+00:00,45.4,55.98,56.8,10.58,23.31,Rising sharply,93,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 56.0 µg/m³. Conditions are rising sharply."
64,3,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-26 22:30:00+00:00,2026-02-26 23:30:00+00:00,54.4,54.18,58.1,-0.22,-0.41,Stable,90,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 54.2 µg/m³. Conditions are stable."
64,4,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-26 22:30:00+00:00,2026-02-26 23:30:00+00:00,51.6,53.15,47.4,1.55,3.0,Stable,88,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 53.1 µg/m³. Conditions are stable."
64,5,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-26 22:30:00+00:00,2026-02-26 23:30:00+00:00,47.3,48.42,50.0,1.12,2.38,Stable,80,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 48.4 µg/m³. Conditions are stable."
64,6,False,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-26 22:30:00+00:00,2026-02-26 23:30:00+00:00,31.8,30.46,38.1,-1.34,-4.22,Stable,50,Good,Low,Air quality is suitable for normal outdoor activity.,"Manali, Chennai - CPCB is forecast to remain within the good category at 30.5 µg/m³. Conditions are stable."
65,1,True,"Manali, Chennai - CPCB",2586,13.164544,80.26285,2026-02-27 05:30:00+00:00,2026-02-27 06:30:00+00:00,74.2,71.27,65.3,-2.93,-3.94,Stable,136,Moderately Polluted,Moderate,"Children, older adults and people with respiratory conditions should limit prolonged outdoor activity.","Air-quality caution for Manali, Chennai - CPCB: next-hour PM2.5 is forecast at 71.3 µg/m³. Conditions are stable."
65,2,False,"Arumbakkam, Chennai - TNPCB",11581,13.0664,80.2112,2026-02-27 05:30:00+00:00,2026-02-27 06:30:00+00:00,53.9,52.09,62.7,-1.81,-3.35,Stable,87,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Arumbakkam, Chennai - TNPCB is forecast to remain within the satisfactory category at 52.1 µg/m³. Conditions are stable."
65,3,False,"Royapuram, Chennai - TNPCB",11578,13.1036,80.2909,2026-02-27 05:30:00+00:00,2026-02-27 06:30:00+00:00,58.2,49.54,57.3,-8.66,-14.88,Improving,82,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Royapuram, Chennai - TNPCB is forecast to remain within the satisfactory category at 49.5 µg/m³. Conditions are improving."
65,4,False,"Velachery Res. Area, Chennai - CPCB",5655,13.0052189,80.2398125,2026-02-27 05:30:00+00:00,2026-02-27 06:30:00+00:00,54.5,42.0,58.1,-12.5,-22.93,Improving sharply,70,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Velachery Res. Area, Chennai - CPCB is forecast to remain within the satisfactory category at 42.0 µg/m³. Conditions are improving sharply."
65,5,False,"Perungudi, Chennai - TNPCB",12046,12.9533,80.2357,2026-02-27 05:30:00+00:00,2026-02-27 06:30:00+00:00,48.5,41.9,42.0,-6.6,-13.61,Improving,69,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Perungudi, Chennai - TNPCB is forecast to remain within the satisfactory category at 41.9 µg/m³. Conditions are improving."
65,6,False,"Manali Village, Chennai - TNPCB",10780,13.1662,80.2584,2026-02-27 05:30:00+00:00,2026-02-27 06:30:00+00:00,47.0,41.82,44.6,-5.18,-11.03,Improving,69,Satisfactory,Low,Sensitive individuals may reduce prolonged outdoor exertion if they experience discomfort.,"Manali Village, Chennai - TNPCB is forecast to remain within the satisfactory category at 41.8 µg/m³. Conditions are improving."
